id,xcenter,ycenter,aperture_sum,aperture_sum_err,msky,nrej,nsky,ssky,source_sum,source_sum_err,mag,merr,file,datetime_jd,RA_deg,DEC_deg,RA_rate,DEC_rate,RA_3sigma,DEC_3sigma,V_JPL,r,r_rate,delta,delta_rate,lighttime,alpha,ObsEclLon,ObsEclLat,m_std,m_red,merr_red,t_target
1,99.99826896238706,100.50631546021809,81228.67873959502,255.91276044857713,692.2071042720206,11,998,16.290871775954447,2941.8996120238444,262.47434405697203,-4.226191496508501,0.09686866846103874,20180407CTIO_targ.fits,2458215.633683866,205.85845,-10.0691,-0.009155277777777778,0.0034482916666666668,0.009,0.002,20.76,3.806683070634,4.7604286,2.81843518127849,-0.9680001,1406.4126600000002,2.7863,207.8744685,0.5951508,21.503228340750695,16.35045448078801,0.1719984166452296,2458215.6174059417
1,100.40303782933367,99.80724669423635,102775.99914360391,288.9277031429431,857.3189814781076,3,1005,20.021498903788935,5815.506639794461,297.6257997674568,-4.966090763826891,0.05556577032625354,20180407SAAO_targ.fits,2458216.405011574,205.68906,-10.00459,-0.009193888888888889,0.003468825,0.009,0.002,20.75,3.808800126846,4.744184,2.81819363840852,-0.4916773,1406.29212,2.5429,207.6956768,0.5956415,20.915617677742794,15.761822611981717,0.08933435443783663,2458216.3887350447
1,100.2878085282523,100.99861602015855,170802.85745460697,367.2786117326402,1451.058447817702,7,995,21.83494174715075,6692.013309240952,375.5296577910269,-5.118513864107845,0.06092727652844363,20180407SSO_targ.fits,2458216.028442847,205.77185,-10.03613,-0.009174944444444446,0.0034580277777777777,0.009,0.002,20.75,3.807767466496,4.7521132,2.81828827593016,-0.735526,1406.33934,2.6618,207.7830704,0.5954059,21.231171247936654,16.077892083318353,0.10455153304691477,2458216.0121657713
1,100.20665605624994,101.40262104855,83171.50572924544,266.29363539544,673.9933725940132,41,965,17.77032176326622,6944.651124501281,274.0401420729421,-5.158747956924872,0.04284380863365858,20180409CTIO_targ.fits,2458217.632635035,205.41864,-9.90146,-0.009234777777777778,0.003487088888888889,0.009,0.002,20.72,3.812154651092,4.7183545,2.81820122948009,0.1406328,1406.2959,2.155,207.4101172,0.5963184,20.793535975029588,15.637823421174996,0.09223824973234893,2458217.6163584623
1,99.79915709379121,100.59602603304214,75082.18214603269,261.8661900776252,620.7988004414439,123,883,16.443825304827968,4871.491916361629,269.24128037128196,-4.773776839612017,0.06000728543399984,20180409SSO_targ.fits,2458218.026400463,205.33161,-9.86823,-0.009248111111111111,0.0034945777777777775,0.009,0.002,20.71,3.813226749507,4.7100761,2.81830448170511,0.3727141,1406.34744,2.0303,207.3181792,0.5965186,20.633049389724587,15.476646678876229,0.09914327668597976,2458218.010123294
1,99.99989983035023,100.66391552974753,99003.26277937792,288.17647209607657,800.97166015625,4,1000,20.546478150697816,8415.502181280099,297.3978851933971,-5.367321966279652,0.03836914829530191,20180411SAAO_targ.fits,2458220.405226215,204.80418,-9.66645,-0.00930275,0.0035281555555555554,0.009,0.002,20.65,3.819663512052,4.6601303,2.81998375479874,1.7498716,1407.1854,1.277,206.7606667,0.5974695,20.283336610683,15.121978048204145,0.09840092613400866,2458220.3889393467
1,100.14854072428979,100.56932181524242,59509.78974848555,219.12869819588786,479.75074752898627,2,1006,13.279781482249115,5251.258484799655,224.18666346830057,-4.855280364701986,0.04635223686970097,20180411SSO_targ.fits,2458220.031770833,204.88716,-9.69826,-0.009297583333333333,0.0035220416666666664,0.009,0.002,20.66,3.818657536576,4.6679639,2.81960014156878,1.5108372,1406.9939399999998,1.3952,206.8484332,0.5973361,20.490131739336242,15.329640561412049,0.08618237507460365,2458220.015486181
1,100.1852531138403,100.394401420998,50513.377618852035,199.9605999334698,410.57962321942273,30,977,15.37205900261952,4077.916210139105,207.55219473747636,-4.580717619009562,0.05526031448198902,20180413CTIO_targ.fits,2458221.631400463,204.5318,-9.56199,-0.009310249999999999,0.0035330500000000003,0.009,0.002,20.62,3.822954572921,4.6344297,2.82156061051997,2.3873702,1407.97224,0.8906,206.4725259,0.5977997,20.48608785709762,15.321645250462767,0.12419296907641106,2458221.615104488
1,99.99276753806915,100.00501913411503,131999.45199560787,327.89806515177463,1088.915180536343,2,994,21.35254671353093,8846.046459614241,336.7256497898473,-5.421494913948251,0.041328658030074,20180413SAAO_targ.fits,2458222.405691771,204.3596,-9.49585,-0.009314555555555557,0.003541575,0.009,0.002,20.59,3.825023401629,4.6182159,2.82280436711817,2.8821393,1408.5928800000002,0.649,206.290274,0.5979584,20.770045464851552,15.603471078952042,0.0909828006208629,2458222.3893886125
